"";"Highschool";"Degree";"Closeness";"Between";"Eigen";"Bonacich"
"1";"H1";5,4;2e-04;2696;0,0015;-0,0155
"2";"H2";5,06;2e-04;2197;9e-04;0,0084
"3";"H3";5,51;2e-04;2501;0,0015;-0,0423
"4";"H4";5,44;2e-04;2033;0,0011;-0,0154
"5";"H5";4,95;0,0148;1913;0;0,0689
"6";"H6";4,23;2e-04;2258;2e-04;-0,2174
"7";"H7";5,76;2e-04;2526;0,0038;0,0294
"8";"H8";5,1;2e-04;2132;0,0627;-0,1456
"9";"Men";5,31;0,0011;2405;0,0153;-0,0106
"10";"Women";5,37;0,0017;2317;0,0019;-0,0328
"11";"Population";5,34;0,0014;2362;0,0087;-0,0215
